dataset,cancer,accession_group,ldo_group,source,study,doi,assay,n_donors,cells_raw,cells_after_qc,n_mappable_immune_classes,mappable_immune_cells,mappable_classes,cell_types_retained,annotation_vocabulary,gene_overlap_mean,pretraining_overlap_flag,pretraining_overlap_basis,geneformer_overlap_flag,geneformer_overlap_basis,sha256_expression,sha256_metainfo,geneformer_vocab_coverage
BRCA_GSE161529,BRCA,GSE161529,GSE161529,TISCH2_local,"Pal et al. 2021 EMBO J, human breast atlas",10.15252/embj.2020107333,scRNA-seq (see primary publication; TISCH2-reprocessed),53,332168,,6,56290,"Mono/Macro,CD4Tconv,NK,Plasma,B,CD8T",,TISCH2 Celltype (major-lineage),,no_evidence_of_overlap,"Primary publication not found in CELLxGENE Census 2025-11-08 by DOI, so no evidence of membership in the scGPT corpus. Absence of evidence is not evidence of absence: neither pretraining corpus publishes a per-accession manifest, and TISCH2 re-processes raw GEO submissions that could in principle have entered a corpus by another route.",unlikely_but_unverifiable,"Genecorpus-30M excluded cells with high mutational burden (malignant cells and immortalised lines), and these are tumour-tissue datasets, so inclusion of the malignant compartment is unlikely. Non-malignant tumour-infiltrating immune cells cannot be positively excluded: the corpus does not publish a per-accession file list. Geneformer-V2 (Dec 2024, ~104M cells) has a broader and less precisely documented corpus than V1, so the uncertainty is larger for V2.",dfa7efbc324587a9c7ca2829b255af6364f3cb19514ba5d83a039a523666e31a,b93d413cc64bd4ab59c1424734dfec410f4be4bad7a5e4c390dfc34fcc397378,0.684
BRCA_GSE176078,BRCA,GSE176078,GSE176078,TISCH2_local,"Wu et al. 2021 Nat Genet, breast cancer atlas",10.1038/s41588-021-00911-1,scRNA-seq (see primary publication; TISCH2-reprocessed),26,89471,,6,43623,"CD4Tconv,CD8Tex,Mono/Macro,B,Plasma,DC",,TISCH2 Celltype (major-lineage),,suspected_overlap,"Primary publication is present in CELLxGENE Census 2025-11-08 as 13 dataset(s) (DOI 10.1038/s41588-021-00911-1). scGPT's corpus was drawn from CELLxGENE, so cells from this study may have been seen in pretraining. Census inclusion is not proof of membership in the specific 33M-cell subset, and scGPT's corpus is described as non-diseased, but the risk cannot be excluded.",unlikely_but_unverifiable,"Genecorpus-30M excluded cells with high mutational burden (malignant cells and immortalised lines), and these are tumour-tissue datasets, so inclusion of the malignant compartment is unlikely. Non-malignant tumour-infiltrating immune cells cannot be positively excluded: the corpus does not publish a per-accession file list. Geneformer-V2 (Dec 2024, ~104M cells) has a broader and less precisely documented corpus than V1, so the uncertainty is larger for V2.",dd1a704159140d921641377fd3b6fca569c7180dd12571c5fae8b96609a125c4,fca6156b1c5319c70d844c84101abe86468002e2852e029cbce5985670363d64,0.663
CHOL_GSE125449_aPD1aPDL1aCTLA4,CHOL,GSE125449,GSE125449,TISCH2_fetch,"Ma et al. 2019 Cancer Cell, liver/biliary tumours",10.1016/j.ccell.2019.08.007,scRNA-seq (see primary publication; TISCH2-reprocessed),10,5762,,6,2969,"CD4Tconv,CD8T,CD8Tex,Mono/Macro,B,Plasma",,TISCH2 Celltype (major-lineage),,no_evidence_of_overlap,"Primary publication not found in CELLxGENE Census 2025-11-08 by DOI, so no evidence of membership in the scGPT corpus. Absence of evidence is not evidence of absence: neither pretraining corpus publishes a per-accession manifest, and TISCH2 re-processes raw GEO submissions that could in principle have entered a corpus by another route.",unlikely_but_unverifiable,"Genecorpus-30M excluded cells with high mutational burden (malignant cells and immortalised lines), and these are tumour-tissue datasets, so inclusion of the malignant compartment is unlikely. Non-malignant tumour-infiltrating immune cells cannot be positively excluded: the corpus does not publish a per-accession file list. Geneformer-V2 (Dec 2024, ~104M cells) has a broader and less precisely documented corpus than V1, so the uncertainty is larger for V2.",b30d5477b3a0af8c9ae0f3f4bb48e9b10bfcea496f3aa9a47f40f2144a63743f,61a87068d5a8b41b7e276dc867e6a577e71f4a657fe5cdb57fca4f2bdf7483c3,0.805
CRC_GSE108989,CRC,GSE108989,GSE108989,TISCH2_fetch,"Zhang et al. 2018 Nature, colorectal T cells",10.1038/s41586-018-0694-x,scRNA-seq (see primary publication; TISCH2-reprocessed),12,11125,,4,10921,"CD4Tconv,CD8T,Treg,CD8Tex",,TISCH2 Celltype (major-lineage),,no_evidence_of_overlap,"Primary publication not found in CELLxGENE Census 2025-11-08 by DOI, so no evidence of membership in the scGPT corpus. Absence of evidence is not evidence of absence: neither pretraining corpus publishes a per-accession manifest, and TISCH2 re-processes raw GEO submissions that could in principle have entered a corpus by another route.",unlikely_but_unverifiable,"Genecorpus-30M excluded cells with high mutational burden (malignant cells and immortalised lines), and these are tumour-tissue datasets, so inclusion of the malignant compartment is unlikely. Non-malignant tumour-infiltrating immune cells cannot be positively excluded: the corpus does not publish a per-accession file list. Geneformer-V2 (Dec 2024, ~104M cells) has a broader and less precisely documented corpus than V1, so the uncertainty is larger for V2.",8c91049658709ce57dbb98e4eaa7885e18d7011b971853fadb8174b14a1a4060,9578aef7daf96fae779fb47477dfa4fd6307a6fa39e79d69d53715651b47720d,0.87
CRC_GSE146771_10X,CRC,GSE146771,GSE146771,TISCH2_fetch,"Zhang et al. 2020 Cell, colorectal TME",10.1016/j.cell.2020.03.048,scRNA-seq (see primary publication; TISCH2-reprocessed),10,43817,,8,43487,"Mono/Macro,CD4Tconv,CD8T,Plasma,B,CD8Tex,NK,Mast",,TISCH2 Celltype (major-lineage),,no_evidence_of_overlap,"Primary publication not found in CELLxGENE Census 2025-11-08 by DOI, so no evidence of membership in the scGPT corpus. Absence of evidence is not evidence of absence: neither pretraining corpus publishes a per-accession manifest, and TISCH2 re-processes raw GEO submissions that could in principle have entered a corpus by another route.",unlikely_but_unverifiable,"Genecorpus-30M excluded cells with high mutational burden (malignant cells and immortalised lines), and these are tumour-tissue datasets, so inclusion of the malignant compartment is unlikely. Non-malignant tumour-infiltrating immune cells cannot be positively excluded: the corpus does not publish a per-accession file list. Geneformer-V2 (Dec 2024, ~104M cells) has a broader and less precisely documented corpus than V1, so the uncertainty is larger for V2.",dd63525f215c5cd589ba595578872a81a47bba691619cd3782b93723ec263d41,0cce1969dbc13d44c0a8f96bde36938516e4fecf0b07f53538a0b7efdff9d26c,0.908
HNSC_GSE103322,HNSC,GSE103322,GSE103322,TISCH2_fetch,"Puram et al. 2017 Cell, HNSCC",10.1016/j.cell.2017.10.044,scRNA-seq (see primary publication; TISCH2-reprocessed),21,5902,,6,1673,"CD8Tex,CD4Tconv,CD8T,Plasma,Mast,Mono/Macro",,TISCH2 Celltype (major-lineage),,no_evidence_of_overlap,"Primary publication not found in CELLxGENE Census 2025-11-08 by DOI, so no evidence of membership in the scGPT corpus. Absence of evidence is not evidence of absence: neither pretraining corpus publishes a per-accession manifest, and TISCH2 re-processes raw GEO submissions that could in principle have entered a corpus by another route.",unlikely_but_unverifiable,"Genecorpus-30M excluded cells with high mutational burden (malignant cells and immortalised lines), and these are tumour-tissue datasets, so inclusion of the malignant compartment is unlikely. Non-malignant tumour-infiltrating immune cells cannot be positively excluded: the corpus does not publish a per-accession file list. Geneformer-V2 (Dec 2024, ~104M cells) has a broader and less precisely documented corpus than V1, so the uncertainty is larger for V2.",e448e390465718fb8275ce956e29ad90b309065ef56839ad318c8db7917c888e,18b700ef47a25e18f63a152617e71f826dfa018c59ab65d028cbfbebbf52fef0,0.895
LIHC_GSE140228_10X,LIHC,GSE140228,GSE140228,TISCH2_fetch,"Zhang et al. 2019 Cell, liver cancer immune landscape",10.1016/j.cell.2019.10.003,scRNA-seq (see primary publication; TISCH2-reprocessed),5,61690,,10,60468,"CD8T,CD4Tconv,Mono/Macro,NK,CD8Tex,B,Treg,DC,Plasma,Mast",,TISCH2 Celltype (major-lineage),,no_evidence_of_overlap,"Primary publication not found in CELLxGENE Census 2025-11-08 by DOI, so no evidence of membership in the scGPT corpus. Absence of evidence is not evidence of absence: neither pretraining corpus publishes a per-accession manifest, and TISCH2 re-processes raw GEO submissions that could in principle have entered a corpus by another route.",unlikely_but_unverifiable,"Genecorpus-30M excluded cells with high mutational burden (malignant cells and immortalised lines), and these are tumour-tissue datasets, so inclusion of the malignant compartment is unlikely. Non-malignant tumour-infiltrating immune cells cannot be positively excluded: the corpus does not publish a per-accession file list. Geneformer-V2 (Dec 2024, ~104M cells) has a broader and less precisely documented corpus than V1, so the uncertainty is larger for V2.",6248a62c515beeea7865e0803bbd05d46e188c69800aec5d8c5c12c3c3ea5e03,630c65fc37bb0ccc467b18ea0014f9459057979d0b15eff5ebbf1fc421bdca31,0.637
LIHC_GSE98638,LIHC,GSE98638,GSE98638,TISCH2_fetch,"Zheng et al. 2017 Cell, HCC T cells",10.1016/j.cell.2017.05.035,scRNA-seq (see primary publication; TISCH2-reprocessed),6,5059,,4,4801,"CD4Tconv,CD8T,Treg,CD8Tex",,TISCH2 Celltype (major-lineage),,no_evidence_of_overlap,"Primary publication not found in CELLxGENE Census 2025-11-08 by DOI, so no evidence of membership in the scGPT corpus. Absence of evidence is not evidence of absence: neither pretraining corpus publishes a per-accession manifest, and TISCH2 re-processes raw GEO submissions that could in principle have entered a corpus by another route.",unlikely_but_unverifiable,"Genecorpus-30M excluded cells with high mutational burden (malignant cells and immortalised lines), and these are tumour-tissue datasets, so inclusion of the malignant compartment is unlikely. Non-malignant tumour-infiltrating immune cells cannot be positively excluded: the corpus does not publish a per-accession file list. Geneformer-V2 (Dec 2024, ~104M cells) has a broader and less precisely documented corpus than V1, so the uncertainty is larger for V2.",f11c98a865c068f41a314ff0269ee3b9ae3cc10f6e31ad637b7d89e37367436e,e2ace7839402bb6837b466af02f8346fee9d4e848216f70c24619d5131a49bf4,0.883
NSCLC_GSE127465,NSCLC,GSE127465,GSE127465,TISCH2_local,"Zilionis et al. 2019 Immunity, lung cancer myeloid",10.1016/j.immuni.2019.03.009,scRNA-seq (see primary publication; TISCH2-reprocessed),7,31179,,9,26055,"Mono/Macro,CD4Tconv,Neutrophils,B,NK,CD8Tex,Plasma,DC,Mast",,TISCH2 Celltype (major-lineage),,no_evidence_of_overlap,"Primary publication not found in CELLxGENE Census 2025-11-08 by DOI, so no evidence of membership in the scGPT corpus. Absence of evidence is not evidence of absence: neither pretraining corpus publishes a per-accession manifest, and TISCH2 re-processes raw GEO submissions that could in principle have entered a corpus by another route.",unlikely_but_unverifiable,"Genecorpus-30M excluded cells with high mutational burden (malignant cells and immortalised lines), and these are tumour-tissue datasets, so inclusion of the malignant compartment is unlikely. Non-malignant tumour-infiltrating immune cells cannot be positively excluded: the corpus does not publish a per-accession file list. Geneformer-V2 (Dec 2024, ~104M cells) has a broader and less precisely documented corpus than V1, so the uncertainty is larger for V2.",ce13ad42f79e301a351188b7bba56619a3317af9e03bf2c7f3eca50fc39ef9b2,0f95f17b0fd7b79c37cea932f616ceb4d9df500184ff2dc694646bb3ce84eb54,0.56
NSCLC_GSE131907,NSCLC,GSE131907,GSE131907,TISCH2_fetch,"Kim et al. 2020 Nat Commun, lung adenocarcinoma",10.1038/s41467-020-16164-1,scRNA-seq (see primary publication; TISCH2-reprocessed),44,203298,,8,160043,"CD4Tconv,CD8T,Mono/Macro,B,DC,CD8Tex,Plasma,Mast",,TISCH2 Celltype (major-lineage),,no_evidence_of_overlap,"Primary publication not found in CELLxGENE Census 2025-11-08 by DOI, so no evidence of membership in the scGPT corpus. Absence of evidence is not evidence of absence: neither pretraining corpus publishes a per-accession manifest, and TISCH2 re-processes raw GEO submissions that could in principle have entered a corpus by another route.",unlikely_but_unverifiable,"Genecorpus-30M excluded cells with high mutational burden (malignant cells and immortalised lines), and these are tumour-tissue datasets, so inclusion of the malignant compartment is unlikely. Non-malignant tumour-infiltrating immune cells cannot be positively excluded: the corpus does not publish a per-accession file list. Geneformer-V2 (Dec 2024, ~104M cells) has a broader and less precisely documented corpus than V1, so the uncertainty is larger for V2.",d647ceda2f16a2d2c26279016c387e57ad58ea9009c63c7d05ed460168c91dad,2e9d81ababe1684834457ef4aaf88bee9f4061c7d4c1477ad549057d9a736895,0.671
